"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","STINT","TOT","PC_PA","M","2003-01",2.8318,
"FRA","STINT","TOT","PC_PA","M","2003-02",2.6875,
"FRA","STINT","TOT","PC_PA","M","2003-03",2.53,
"FRA","STINT","TOT","PC_PA","M","2003-04",2.5333,
"FRA","STINT","TOT","PC_PA","M","2003-05",2.4005,
"FRA","STINT","TOT","PC_PA","M","2003-06",2.1519,
"FRA","STINT","TOT","PC_PA","M","2003-07",2.13,
"FRA","STINT","TOT","PC_PA","M","2003-08",2.1404,
"FRA","STINT","TOT","PC_PA","M","2003-09",2.1473,
"FRA","STINT","TOT","PC_PA","M","2003-10",2.1436,
"FRA","STINT","TOT","PC_PA","M","2003-11",2.159,
"FRA","STINT","TOT","PC_PA","M","2003-12",2.1463,
"FRA","STINT","TOT","PC_PA","M","2004-01",2.0895,
"FRA","STINT","TOT","PC_PA","M","2004-02",2.0705,
"FRA","STINT","TOT","PC_PA","M","2004-03",2.0288,
"FRA","STINT","TOT","PC_PA","M","2004-04",2.0488,
"FRA","STINT","TOT","PC_PA","M","2004-05",2.0859,
"FRA","STINT","TOT","PC_PA","M","2004-06",2.1127,
"FRA","STINT","TOT","PC_PA","M","2004-07",2.116,
"FRA","STINT","TOT","PC_PA","M","2004-08",2.1143,
"FRA","STINT","TOT","PC_PA","M","2004-09",2.1186,
"FRA","STINT","TOT","PC_PA","M","2004-10",2.1473,
"FRA","STINT","TOT","PC_PA","M","2004-11",2.1703,
"FRA","STINT","TOT","PC_PA","M","2004-12",2.1732,
"FRA","STINT","TOT","PC_PA","M","2005-01",2.1454,
"FRA","STINT","TOT","PC_PA","M","2005-02",2.1383,
"FRA","STINT","TOT","PC_PA","M","2005-03",2.1372,
"FRA","STINT","TOT","PC_PA","M","2005-04",2.1372,
"FRA","STINT","TOT","PC_PA","M","2005-05",2.1256,
