"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","GAP","Output gap as a percentage of potential GDP","A","Annual","2003","2003","PC","Percentage","0","Units",,,0.106040410855357,,
"FRA","France","GAP","Output gap as a percentage of potential GDP","A","Annual","2004","2004","PC","Percentage","0","Units",,,0.96651823456757,,
"FRA","France","GAP","Output gap as a percentage of potential GDP","A","Annual","2005","2005","PC","Percentage","0","Units",,,1.00473146719955,,
"FRA","France","GAP","Output gap as a percentage of potential GDP","A","Annual","2006","2006","PC","Percentage","0","Units",,,2.04767392888197,,
"FRA","France","GAP","Output gap as a percentage of potential GDP","A","Annual","2007","2007","PC","Percentage","0","Units",,,2.87389590625062,,
"FRA","France","GAP","Output gap as a percentage of potential GDP","A","Annual","2008","2008","PC","Percentage","0","Units",,,1.42540929446597,,
"FRA","France","GAP","Output gap as a percentage of potential GDP","A","Annual","2009","2009","PC","Percentage","0","Units",,,-2.52665715047563,,
"FRA","France","GAP","Output gap as a percentage of potential GDP","A","Annual","2010","2010","PC","Percentage","0","Units",,,-1.80169116711194,,
"FRA","France","GAP","Output gap as a percentage of potential GDP","A","Annual","2011","2011","PC","Percentage","0","Units",,,-0.711961070679834,,
"FRA","France","GAP","Output gap as a percentage of potential GDP","A","Annual","2012","2012","PC","Percentage","0","Units",,,-1.40578229487673,,
"FRA","France","GAP","Output gap as a percentage of potential GDP","A","Annual","2013","2013","PC","Percentage","0","Units",,,-1.84376037391443,,
"FRA","France","GAP","Output gap as a percentage of potential GDP","A","Annual","2014","2014","PC","Percentage","0","Units",,,-1.93029675112879,,
"FRA","France","GAP","Output gap as a percentage of potential GDP","A","Annual","2015","2015","PC","Percentage","0","Units",,,-1.96645856485228,,
"FRA","France","GAP","Output gap as a percentage of potential GDP","A","Annual","2016","2016","PC","Percentage","0","Units",,,-2.05449647857806,,
"FRA","France","GAP","Output gap as a percentage of potential GDP","A","Annual","2017","2017","PC","Percentage","0","Units",,,-0.826524572196541,,
"FRA","France","GAP","Output gap as a percentage of potential GDP","A","Annual","2018","2018","PC","Percentage","0","Units",,,-0.219069277311334,,
